##BLOCKS= 7          
Note:
PROTOCOL REVISION HISTORY:
v1.0.0: original protocol created (MDC)
v1.0.1: 06/30/05 - Updated, spell checked, & formatted to new style guide. (DW)
v1.0.2: 10/02/05 - Updated Reader Suitability section for v5.0 release. (DW)

READER SUITABILITY:
VMax, VersaMax
SpectraMax, Plus, Plus 384
SpectraMax 190, 340PC, 340PC 384
SpectraMax Gemini, Gemini XS, Gemini EM, Gemini XPS
SpectraMax M2, SpectraMax M5
FlexStation, II, II 384
~End
Note:
Basic Kinetic Protocol

Unfamiliar with SoftMax Pro software?
If you are new to SoftMax Pro software, we strongly recommended spending time familiarizing yourself with the powerful features by completing at least one of the tutorials located in the Tutorials folder.

Use this protocol as the starting point for kinetic assays that have unknowns that will have concentrations interpolated from a standard curve.  Modify the instrument setup for your assay.  You may add more groups of unknowns, controls, or standards to the template to fit your assay.
~End
Plate:	Plate01	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	501	7500	15				1	407	1	12	96	364	Automatic	None			12	Automatic			1	1	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
15:45	22.30	2123.423	2106.082	2189.761	2323.306	2170.502	2058.357	2246.669	2403.36	2396.922	3058.489	3515.599	613.949																																																																																					
16:00	22.30	2139.757	2137.264	2205.103	2338.715	2187.679	2071.411	2269.293	2429.56	2401.174	3068.249	3532.119	602.891																																																																																					
16:15	22.30	2157.534	2155.977	2211.473	2376.514	2203.521	2087.696	2281.251	2441.112	2420.766	3061.574	3508.214	608.671																																																																																					
16:30	22.30	2173.844	2168.752	2239.229	2384.466	2235.268	2105.191	2301.472	2463.917	2431.13	3082.941	3524.1	614.675																																																																																					
16:45	22.30	2185.595	2190.415	2264.004	2400.002	2236.774	2130.247	2310.291	2478.043	2449.366	3087.843	3534.772	614.476																																																																																					
17:00	22.30	2199.342	2207.639	2275.883	2405.869	2261.547	2148.648	2332.97	2501.959	2478.634	3115.736	3516.978	627.317																																																																																					
17:15	22.30	2224.317	2225.302	2296.596	2419.572	2265.101	2146.328	2349.184	2511.053	2473.578	3120.86	3529.569	624.125																																																																																					
17:30	22.30	2245.15	2234.979	2300.333	2427.768	2300.263	2167.988	2352.083	2520.873	2491.796	3139.48	3525.026	633.923																																																																																					
17:45	22.30	2246.837	2249.818	2322.684	2449.662	2296.006	2180.899	2384.052	2535.334	2511.046	3145.095	3529.297	625.958																																																																																					
18:00	22.30	2264.021	2266.331	2344.599	2464.962	2321.221	2197.409	2396.836	2552.599	2523.806	3143.755	3525.873	637.408																																																																																					
18:15	22.30	2289.078	2290.083	2358.367	2481.347	2334.155	2213.541	2412.329	2557.429	2538.614	3152.584	3535.078	608.623																																																																																					
